customer_id,signup_date,age,gender,country,plan_type,monthly_fee
100001,2025-01-31,63,Male,USA,Standard,299
100002,2024-05-10,43,Male,Canada,Basic,499
100003,2025-02-04,65,Male,Australia,Standard,299
100004,2024-12-31,56,Male,India,Basic,299
100005,2024-11-10,58,Female,Canada,Premium,499
100006,2022-05-02,21,Male,USA,Basic,999
100007,2023-04-12,47,Female,UK,Standard,499
100008,2022-11-27,47,Female,India,Basic,999
100009,2022-03-29,39,Male,USA,Premium,999
100010,2025-01-28,28,Male,India,Standard,999
100011,2024-05-21,19,Male,USA,Basic,299
100012,2022-05-11,61,Male,Australia,Premium,499
100013,2024-02-09,29,Male,UK,Basic,299
100014,2022-12-10,47,Male,Australia,Standard,499
100015,2024-03-16,53,Female,USA,Standard,999
100016,2023-01-21,35,Female,Canada,Basic,299
100017,2024-08-13,43,Female,Australia,Premium,499
100018,2022-10-04,24,Female,Canada,Basic,499
100019,2025-03-30,18,Male,USA,Basic,299
100020,2023-04-05,43,Male,UK,Premium,299
100021,2022-01-22,40,Female,Canada,Standard,499
100022,2022-09-10,43,Female,USA,Basic,299
100023,2024-01-18,62,Female,Canada,Basic,499
100024,2024-05-06,23,Male,Australia,Standard,499
100025,2023-04-20,23,Male,USA,Basic,499
100026,2024-12-18,61,Male,Australia,Premium,299
100027,2023-05-26,25,Female,India,Standard,499
100028,2023-12-01,41,Female,USA,Basic,299
100029,2024-09-02,39,Male,Canada,Basic,999
100030,2022-07-09,36,Male,India,Standard,299
100031,2024-08-15,54,Female,Australia,Basic,999
100032,2023-11-18,35,Female,Australia,Standard,499
100033,2024-08-15,48,Male,Canada,Premium,499
100034,2023-07-17,54,Female,India,Standard,299
100035,2024-04-11,47,Male,UK,Standard,299
100036,2025-02-28,59,Male,Canada,Basic,499
100037,2023-10-09,50,Female,Australia,Standard,299
100038,2022-01-21,27,Female,USA,Standard,999
100039,2024-04-20,54,Female,India,Standard,299
100040,2022-06-16,29,Male,UK,Basic,999
100041,2023-01-23,47,Female,USA,Premium,499
100042,2023-08-24,44,Female,India,Basic,299
100043,2022-11-12,56,Male,Canada,Standard,499
100044,2022-01-14,26,Male,Canada,Standard,299
100045,2022-08-30,38,Female,India,Standard,299
100046,2024-02-16,29,Male,UK,Basic,299
100047,2023-07-19,46,Male,India,Standard,999
100048,2024-06-16,50,Male,USA,Basic,499
100049,2022-04-02,60,Female,USA,Standard,499
100050,2024-08-13,32,Female,Canada,Basic,299
100051,2023-05-24,19,Male,India,Basic,499
100052,2024-02-15,69,Male,Canada,Basic,299
100053,2022-02-04,56,Male,UK,Premium,299
100054,2022-07-25,61,Female,USA,Standard,299
100055,2025-01-09,35,Male,Australia,Standard,499
100056,2024-10-22,20,Male,Australia,Standard,499
100057,2024-10-18,24,Female,India,Premium,299
100058,2023-07-20,60,Male,India,Basic,999
100059,2025-02-03,35,Female,Australia,Standard,299
100060,2023-12-04,61,Female,India,Standard,499
100061,2023-02-06,55,Female,USA,Basic,299
100062,2023-12-31,54,Male,UK,Basic,299
100063,2022-06-11,50,Male,UK,Basic,999
100064,2022-07-21,61,Female,Canada,Basic,999
100065,2024-09-22,48,Male,USA,Basic,499
100066,2022-09-27,28,Female,India,Basic,999
100067,2024-03-26,21,Male,India,Standard,999
100068,2023-04-01,35,Female,Canada,Basic,499
100069,2024-10-13,21,Female,Canada,Basic,999
100070,2022-10-23,66,Male,India,Premium,299
100071,2023-12-21,51,Male,India,Standard,499
100072,2022-12-04,46,Male,USA,Basic,499
100073,2024-05-28,41,Male,Canada,Standard,299
100074,2024-12-12,39,Female,USA,Basic,999
100075,2024-03-02,19,Female,India,Basic,299
100076,2022-08-05,61,Male,Australia,Basic,999
100077,2024-02-03,23,Male,Australia,Premium,299
100078,2022-07-07,59,Female,India,Standard,299
100079,2023-01-15,42,Male,Canada,Standard,299
100080,2023-05-08,38,Male,Australia,Premium,999
100081,2024-11-30,33,Male,Canada,Premium,299
100082,2025-03-26,48,Male,Australia,Standard,499
100083,2022-01-15,31,Female,Canada,Standard,499
100084,2022-03-06,56,Female,Australia,Basic,299
100085,2023-06-05,45,Male,Canada,Basic,999
100086,2025-02-26,49,Female,USA,Standard,299
100087,2023-10-10,45,Male,Canada,Standard,499
100088,2024-12-22,68,Male,USA,Premium,499
100089,2025-03-08,66,Male,USA,Standard,299
100090,2023-08-16,26,Female,India,Standard,299
100091,2023-01-27,62,Female,USA,Standard,499
100092,2023-02-23,39,Female,UK,Basic,999
100093,2022-10-16,49,Female,USA,Standard,299
100094,2023-01-14,22,Female,Canada,Standard,299
100095,2022-08-19,40,Male,USA,Standard,999
100096,2024-10-14,22,Male,Canada,Standard,299
100097,2022-02-10,59,Female,Canada,Basic,499
100098,2024-11-17,49,Female,UK,Standard,499
100099,2022-05-15,27,Female,USA,Standard,299
100100,2022-07-20,56,Male,USA,Standard,499
100101,2024-02-19,32,Female,Australia,Standard,999
100102,2024-07-18,24,Male,Australia,Basic,499
100103,2024-11-22,46,Male,India,Basic,499
100104,2024-12-07,64,Female,Canada,Basic,499
100105,2023-05-18,20,Male,UK,Standard,499
100106,2023-02-11,36,Male,Australia,Standard,299
100107,2024-03-15,27,Female,USA,Premium,499
100108,2022-04-09,45,Male,India,Basic,299
100109,2023-11-15,46,Female,UK,Basic,299
100110,2023-12-27,32,Male,USA,Standard,999
100111,2024-08-18,52,Female,USA,Standard,499
100112,2023-09-05,23,Female,Canada,Standard,999
100113,2023-10-05,29,Male,Canada,Premium,299
100114,2024-10-25,64,Female,Australia,Premium,999
100115,2023-05-18,55,Male,Australia,Basic,499
100116,2024-02-06,30,Male,USA,Premium,999
100117,2023-02-02,46,Female,USA,Basic,999
100118,2024-05-20,36,Male,Australia,Standard,999
100119,2024-03-05,20,Female,Australia,Standard,999
100120,2023-01-28,25,Male,USA,Standard,299
100121,2022-07-26,25,Male,UK,Basic,499
100122,2024-11-04,37,Female,USA,Basic,299
100123,2024-06-10,64,Male,UK,Standard,499
100124,2024-05-13,21,Male,UK,Basic,999
100125,2024-01-13,68,Male,USA,Basic,299
100126,2023-07-18,38,Male,India,Standard,499
100127,2024-10-17,20,Male,Australia,Standard,499
100128,2022-04-06,62,Male,Canada,Standard,299
100129,2023-04-30,25,Male,USA,Basic,299
100130,2022-08-19,40,Male,UK,Premium,299
100131,2024-01-19,33,Female,USA,Basic,299
100132,2025-04-09,30,Male,Australia,Premium,499
100133,2023-06-25,20,Male,UK,Standard,499
100134,2024-11-25,65,Female,Canada,Standard,299
100135,2023-06-09,26,Female,Canada,Premium,999
100136,2025-03-29,31,Female,Canada,Basic,499
100137,2025-01-14,30,Male,India,Basic,499
100138,2023-08-01,24,Female,UK,Standard,299
100139,2023-11-13,32,Female,UK,Basic,499
100140,2023-07-11,24,Male,India,Standard,299
100141,2024-10-09,55,Male,UK,Basic,499
100142,2023-10-08,51,Female,India,Premium,499
100143,2024-03-06,58,Female,USA,Standard,299
100144,2024-11-17,39,Male,Australia,Basic,999
100145,2022-07-09,41,Male,Canada,Premium,499
100146,2023-09-25,66,Male,India,Basic,299
100147,2023-09-20,54,Male,India,Basic,999
100148,2024-08-30,61,Male,India,Basic,499
100149,2023-12-11,18,Female,USA,Standard,499
100150,2023-10-11,27,Male,India,Standard,499
100151,2022-11-14,60,Male,Australia,Standard,299
100152,2023-11-15,33,Male,Australia,Basic,999
100153,2023-10-26,63,Male,Canada,Premium,499
100154,2025-02-10,25,Male,USA,Standard,299
100155,2023-03-18,66,Female,Australia,Basic,999
100156,2023-07-18,42,Male,UK,Standard,499
100157,2025-02-10,67,Female,UK,Standard,499
100158,2024-08-09,29,Male,UK,Basic,999
100159,2025-01-09,42,Female,India,Basic,299
100160,2023-11-30,34,Female,India,Basic,299
100161,2022-04-23,43,Male,UK,Premium,299
100162,2022-01-02,63,Male,Canada,Standard,999
100163,2023-10-04,65,Male,Canada,Basic,299
100164,2022-08-08,31,Male,India,Basic,299
100165,2024-05-04,58,Male,UK,Standard,299
100166,2023-01-20,53,Female,Canada,Standard,299
100167,2025-02-27,40,Male,India,Standard,499
100168,2024-12-12,60,Male,UK,Premium,999
100169,2023-12-31,23,Female,USA,Standard,299
100170,2022-09-04,64,Male,UK,Standard,499
100171,2024-04-15,22,Female,UK,Basic,499
100172,2022-07-22,60,Male,Australia,Premium,499
100173,2022-05-03,42,Female,Australia,Basic,999
100174,2023-02-05,35,Male,USA,Basic,499
100175,2024-02-06,30,Female,USA,Standard,299
100176,2022-10-21,60,Female,UK,Basic,999
100177,2022-10-07,31,Male,Canada,Basic,499
100178,2024-06-02,45,Male,USA,Standard,299
100179,2022-07-17,35,Male,UK,Basic,299
100180,2024-09-08,45,Female,India,Basic,999
100181,2024-01-22,68,Female,Australia,Standard,499
100182,2022-05-24,44,Female,Canada,Standard,499
100183,2023-09-01,49,Male,UK,Basic,999
100184,2025-02-21,64,Male,India,Premium,499
100185,2022-07-06,26,Female,Australia,Basic,299
100186,2023-04-09,57,Male,India,Standard,499
100187,2023-10-22,49,Female,UK,Basic,499
100188,2024-02-03,37,Male,USA,Standard,499
100189,2024-08-12,45,Male,Australia,Basic,299
100190,2023-02-07,50,Female,India,Basic,299
100191,2022-05-27,21,Male,USA,Basic,499
100192,2025-03-17,63,Male,Canada,Standard,999
100193,2024-05-13,51,Male,UK,Standard,499
100194,2023-05-04,65,Male,UK,Basic,999
100195,2024-07-17,20,Male,Australia,Premium,499
100196,2023-07-05,43,Female,India,Basic,999
100197,2022-12-04,25,Male,Canada,Standard,299
100198,2024-05-21,23,Female,Australia,Basic,299
100199,2023-10-03,33,Male,Australia,Standard,499
100200,2023-04-18,41,Male,India,Standard,299
100201,2022-05-31,65,Female,Canada,Standard,499
100202,2022-09-20,56,Female,India,Basic,999
100203,2022-05-24,47,Male,UK,Basic,499
100204,2022-12-12,62,Male,USA,Standard,999
100205,2023-09-16,30,Female,UK,Basic,499
100206,2024-10-13,22,Female,UK,Basic,499
100207,2024-05-30,42,Female,Australia,Basic,499
100208,2022-01-02,37,Female,UK,Basic,299
100209,2024-06-15,35,Male,Canada,Basic,299
100210,2022-09-11,64,Male,UK,Premium,499
100211,2023-03-29,35,Male,Canada,Standard,999
100212,2024-11-26,19,Male,India,Standard,499
100213,2025-03-29,27,Male,Australia,Basic,299
100214,2024-10-11,62,Female,Canada,Standard,299
100215,2022-01-09,67,Female,UK,Standard,999
100216,2025-01-27,64,Female,Australia,Standard,499
100217,2024-03-26,29,Male,Australia,Basic,999
100218,2022-07-27,64,Female,Canada,Premium,499
100219,2025-02-28,30,Male,Canada,Standard,499
100220,2023-02-08,67,Male,USA,Premium,499
100221,2022-06-01,64,Male,USA,Basic,299
100222,2022-02-23,28,Female,Australia,Basic,499
100223,2025-02-17,36,Male,USA,Basic,499
100224,2023-09-20,52,Male,UK,Standard,499
100225,2023-08-10,56,Female,India,Basic,999
100226,2022-04-14,43,Male,Australia,Premium,299
100227,2022-09-11,63,Female,India,Premium,499
100228,2025-02-09,31,Male,USA,Standard,299
100229,2023-05-25,62,Female,Canada,Standard,299
100230,2022-04-09,61,Male,Australia,Standard,499
100231,2022-06-02,41,Male,USA,Standard,299
100232,2024-07-02,58,Female,UK,Basic,499
100233,2024-05-27,18,Male,Australia,Standard,299
100234,2022-12-04,68,Female,Australia,Premium,299
100235,2024-04-01,60,Male,Canada,Basic,299
100236,2025-04-01,39,Female,Australia,Premium,299
100237,2024-08-14,40,Male,Canada,Basic,999
100238,2022-06-10,36,Male,USA,Basic,499
100239,2024-03-11,35,Male,UK,Basic,999
100240,2023-02-02,29,Female,UK,Basic,299
100241,2024-03-26,45,Female,Australia,Premium,499
100242,2025-03-04,45,Female,Australia,Premium,499
100243,2023-02-05,50,Female,USA,Standard,299
100244,2023-10-02,36,Female,Canada,Premium,499
100245,2024-11-22,45,Male,UK,Basic,499
100246,2023-11-19,69,Male,Canada,Basic,499
100247,2023-04-05,66,Male,USA,Standard,499
100248,2024-08-12,54,Male,UK,Premium,499
100249,2023-04-15,43,Male,UK,Basic,299
100250,2024-11-11,52,Female,India,Premium,499
100251,2024-01-20,51,Male,USA,Standard,999
100252,2022-02-07,52,Female,USA,Premium,299
100253,2022-08-18,57,Male,India,Basic,499
100254,2023-07-17,33,Female,Canada,Standard,499
100255,2023-03-14,55,Female,India,Standard,499
100256,2022-01-27,30,Female,USA,Standard,499
100257,2022-08-14,40,Male,Canada,Basic,299
100258,2024-03-08,39,Male,UK,Premium,499
100259,2022-10-11,33,Male,India,Premium,499
100260,2024-05-28,45,Male,Canada,Basic,499
100261,2024-08-17,65,Female,Canada,Basic,499
100262,2023-03-29,52,Female,Canada,Standard,499
100263,2024-10-16,62,Female,India,Standard,999
100264,2024-03-26,63,Female,UK,Standard,499
100265,2023-10-21,25,Male,Canada,Basic,499
100266,2023-07-01,61,Female,India,Standard,299
100267,2024-12-08,39,Male,USA,Standard,299
100268,2022-01-17,38,Female,India,Basic,999
100269,2025-04-10,43,Female,India,Standard,499
100270,2022-06-07,57,Female,India,Basic,499
100271,2023-04-22,38,Male,Canada,Basic,499
100272,2024-12-05,42,Male,India,Standard,299
100273,2023-06-02,58,Female,USA,Premium,999
100274,2022-04-09,18,Female,Canada,Basic,499
100275,2024-11-26,23,Female,USA,Basic,499
100276,2022-10-07,40,Male,Australia,Basic,299
100277,2023-05-12,68,Male,India,Basic,499
100278,2022-10-29,40,Male,Canada,Standard,299
100279,2022-06-30,60,Female,Canada,Standard,499
100280,2023-08-30,60,Male,India,Basic,499
100281,2025-01-27,40,Female,UK,Premium,299
100282,2023-12-01,49,Male,UK,Basic,499
100283,2024-09-19,47,Female,USA,Premium,499
100284,2025-02-13,30,Female,India,Premium,999
100285,2022-07-10,60,Male,India,Standard,499
100286,2022-09-10,35,Female,Australia,Basic,299
100287,2024-09-07,40,Female,UK,Standard,299
100288,2024-07-16,32,Female,UK,Standard,999
100289,2025-03-30,50,Male,India,Premium,499
100290,2022-05-08,38,Female,USA,Standard,499
100291,2022-01-18,56,Male,India,Standard,299
100292,2023-07-20,40,Male,USA,Premium,299
100293,2023-07-24,44,Female,UK,Premium,999
100294,2023-11-17,62,Male,Australia,Standard,499
100295,2023-09-18,61,Female,Canada,Premium,299
100296,2024-05-03,35,Male,UK,Standard,499
100297,2024-08-19,41,Female,USA,Standard,299
100298,2022-06-04,68,Male,India,Standard,999
100299,2023-05-05,64,Female,UK,Standard,499
100300,2024-02-24,57,Female,Australia,Basic,499
