customer_id,event_date,event_type,event_value
101209,2023-03-05,purchase,92.73
103394,2024-03-30,share,19.5
104195,2023-07-02,login,24.79
101524,2023-09-23,search,68.72
101119,2025-01-05,purchase,17.81
102845,2023-07-25,watch,97.91
104674,2024-10-04,share,69.47
104620,2023-03-30,purchase,33.01
104119,2023-04-14,watch,8.98
102344,2023-08-04,login,77.34
103564,2024-06-25,watch,86.88
101133,2025-02-28,watch,75.9
101993,2025-06-03,purchase,53.66
102226,2025-02-19,watch,62.58
100497,2024-03-06,watch,14.35
103772,2023-05-06,share,95.13
104799,2024-10-04,login,73.35
103912,2024-12-25,watch,86.83
100586,2024-04-09,share,92.99
103769,2023-06-22,watch,91.43
101838,2025-02-16,watch,27.49
102593,2025-04-13,search,45.66
101882,2023-11-25,purchase,93.52
103564,2024-06-28,share,90.35
102310,2024-01-07,purchase,60.1
101603,2024-12-15,login,89.77
100421,2024-11-24,share,49.69
103568,2023-07-04,login,86.34
102501,2023-09-19,search,36.38
100112,2024-10-30,purchase,22.07
101846,2025-02-26,purchase,65.7
100042,2023-11-25,login,74.44
103794,2023-11-26,search,10.58
102231,2024-07-13,login,36.47
103874,2024-12-29,login,72.84
101312,2023-07-23,search,6.78
100413,2024-11-25,login,69.64
100931,2023-12-28,search,62.07
104936,2023-04-20,search,3.1
100411,2023-11-30,search,17.42
104491,2024-07-14,watch,67.48
101690,2025-04-24,watch,49.46
101496,2025-03-20,search,20.95
100533,2024-03-31,share,95.74
103110,2023-12-23,search,6.71
102873,2023-01-17,login,25.86
102857,2024-08-11,login,51.5
100334,2024-12-10,purchase,86.85
104385,2024-06-02,watch,12.93
103531,2025-01-03,share,84.35
104097,2023-02-06,login,18.49
101925,2023-07-13,share,43.2
100692,2024-04-10,login,55.21
103936,2024-04-27,login,25.17
100800,2024-09-14,watch,8.11
103021,2024-09-11,watch,90.01
102378,2023-08-05,purchase,15.72
104171,2024-09-01,share,5.32
100012,2023-12-21,search,79.74
102270,2024-06-17,purchase,2.21
101099,2024-01-06,login,52.14
103217,2023-12-07,share,51.7
104583,2025-03-16,search,8.06
101727,2024-07-18,watch,48.06
100026,2023-06-03,watch,64.23
103137,2025-06-14,login,91.93
101860,2023-07-11,purchase,46.6
104626,2025-03-08,watch,45.45
103962,2025-02-22,login,83.36
100343,2025-03-10,share,96.84
100361,2024-06-17,login,48.3
103647,2024-07-26,purchase,70.14
104608,2023-05-17,share,82.85
100876,2023-10-21,share,46.22
100688,2024-03-05,share,77.45
101664,2024-06-08,share,14.28
102528,2024-06-19,purchase,40.88
102234,2023-06-13,login,29.37
104825,2023-04-28,watch,23.47
100454,2024-09-26,watch,98.6
103458,2023-01-31,share,95.55
103236,2024-02-08,search,91.88
103244,2023-02-16,login,41.61
101834,2025-04-27,share,55.64
103248,2025-03-24,search,78.61
104668,2025-04-02,share,56.19
103453,2024-07-30,search,21.66
100365,2023-08-21,search,33.82
102918,2023-02-22,search,3.73
101843,2023-12-22,purchase,57.82
102161,2023-09-25,share,90.75
104096,2023-06-13,purchase,35.52
104701,2024-04-15,search,85.72
102874,2024-02-27,login,26.0
103762,2024-01-26,purchase,89.33
103728,2025-06-07,share,70.6
101898,2024-09-24,purchase,36.59
103889,2024-05-24,login,91.27
101078,2023-03-15,search,99.77
104713,2023-07-26,purchase,44.83
101017,2024-12-12,search,73.27
100411,2023-03-30,watch,74.99
104387,2023-07-17,search,86.66
104293,2024-08-18,share,24.59
102903,2023-09-07,watch,59.46
103812,2024-06-20,purchase,21.67
103491,2024-01-14,share,53.75
104891,2024-03-21,search,31.32
102381,2025-02-02,watch,2.38
103496,2023-06-04,share,35.96
100794,2024-11-20,watch,64.34
104549,2024-08-14,watch,68.41
102282,2023-06-11,login,8.57
100737,2023-09-30,watch,52.81
102235,2024-01-15,share,23.83
102899,2024-06-05,watch,91.23
101977,2024-11-19,watch,4.61
103732,2023-06-26,watch,14.98
104542,2023-01-19,login,10.88
103293,2024-12-15,share,82.98
103418,2024-08-12,watch,85.0
104437,2024-07-16,login,38.19
102260,2023-09-11,watch,57.48
102633,2023-06-19,login,67.48
103067,2025-03-31,watch,75.72
102461,2024-12-17,login,71.39
100410,2023-08-08,purchase,87.07
101705,2023-03-26,share,96.48
101066,2024-09-03,watch,25.0
102550,2024-08-08,share,97.99
101544,2023-03-05,watch,87.69
101380,2023-07-05,purchase,88.59
102994,2023-03-15,login,44.02
104390,2024-08-24,share,39.45
103079,2023-11-28,watch,40.1
103173,2023-01-14,purchase,12.9
102295,2024-07-04,search,9.06
104266,2024-10-09,search,44.12
100775,2024-11-08,login,48.78
102940,2025-01-13,login,62.2
100780,2023-07-11,share,80.68
103647,2024-08-23,login,19.81
104320,2024-03-01,share,29.08
104005,2024-03-22,login,96.33
103111,2025-01-08,watch,88.5
101038,2023-09-08,purchase,39.18
104196,2023-01-21,purchase,76.84
102059,2023-07-12,share,19.23
100332,2023-01-28,share,9.21
103363,2025-02-02,share,52.23
102173,2023-08-23,share,86.81
103100,2023-01-20,purchase,17.81
103133,2024-02-16,search,95.1
103521,2024-03-03,search,3.92
100425,2025-02-19,login,56.34
100045,2024-08-14,share,95.94
104659,2023-03-31,login,35.48
101298,2024-12-22,watch,10.69
103084,2023-01-06,share,11.94
104872,2023-07-02,login,66.78
102772,2025-06-03,watch,72.34
100156,2025-04-19,share,30.9
103267,2023-05-30,search,5.3
102352,2025-04-13,watch,2.27
101561,2025-05-08,login,65.58
100561,2024-06-22,search,52.13
104346,2024-02-28,login,54.6
102068,2024-03-13,purchase,67.91
104560,2024-02-20,purchase,63.29
102795,2023-10-08,share,86.84
101979,2024-09-28,share,95.36
103823,2023-11-05,share,87.14
102356,2025-02-14,search,30.21
100187,2024-05-15,share,52.15
103888,2024-08-23,purchase,71.45
100070,2023-02-15,purchase,29.37
101973,2025-06-18,share,49.54
100942,2024-05-01,login,90.82
100818,2024-10-01,search,84.36
100389,2025-04-15,share,44.43
100347,2024-11-14,search,11.73
103542,2025-06-07,login,83.33
100593,2024-05-23,search,26.54
101347,2023-07-22,login,60.37
101048,2024-07-12,purchase,70.75
103302,2023-05-31,search,57.76
103864,2025-06-08,share,68.41
102646,2023-12-23,purchase,94.44
104787,2023-01-02,login,78.17
101835,2025-05-09,purchase,61.14
100664,2025-05-22,share,36.7
104593,2023-01-25,search,96.83
103089,2025-05-26,watch,23.23
103301,2024-10-11,watch,5.62
103218,2024-01-01,purchase,83.74
100851,2023-11-29,watch,17.86
104724,2023-06-07,share,12.83
100621,2023-05-26,watch,99.36
100670,2025-05-12,purchase,69.36
101415,2023-07-30,login,27.78
103582,2025-05-01,login,58.62
101544,2024-11-19,login,62.96
100437,2023-02-24,watch,27.32
101200,2023-02-19,login,72.48
102509,2024-06-29,purchase,81.3
102740,2024-08-01,watch,82.55
101908,2023-05-31,purchase,74.85
101871,2025-05-17,purchase,92.59
101520,2023-06-08,login,38.3
