ticket_id,customer_id,ticket_date,ticket_category,resolution_time_hrs,satisfaction_score
1,102771,2024-12-28,Billing,8.66,5
2,101286,2023-06-22,Account,25.13,4
3,102567,2023-10-16,Technical,7.12,3
4,101772,2024-08-03,Refund,9.52,2
5,103351,2023-06-26,Billing,6.62,4
6,103048,2024-06-25,Technical,17.77,3
7,101723,2025-03-29,Account,31.41,4
8,103275,2024-11-13,Billing,5.7,5
9,102430,2025-04-11,Refund,5.74,3
10,104383,2023-12-18,Account,18.33,5
11,100562,2023-07-19,Account,8.54,1
12,100491,2025-01-23,Refund,7.93,5
13,100851,2025-06-15,Account,0.52,1
14,101855,2025-03-10,Technical,6.61,4
15,104213,2025-06-07,Refund,46.47,2
16,102392,2025-06-02,Refund,0.28,5
17,100353,2024-12-29,Refund,9.24,4
18,102335,2025-01-27,Refund,0.31,5
19,100364,2023-03-06,Account,15.75,4
20,102730,2024-09-07,Refund,7.53,1
21,100672,2023-01-08,Refund,13.16,1
22,100556,2023-07-01,Account,1.39,1
23,102517,2023-11-15,Billing,17.05,4
24,100358,2025-01-27,Refund,1.32,3
25,103984,2024-04-16,Account,11.01,1
26,100110,2023-12-24,Billing,18.02,4
27,101218,2025-02-03,Technical,22.89,4
28,103910,2024-08-14,Technical,8.81,5
29,103125,2025-03-18,Billing,2.02,4
30,103080,2024-01-27,Technical,13.84,5
31,100998,2023-08-18,Account,13.86,3
32,104991,2023-04-02,Refund,8.44,1
33,101188,2024-01-05,Billing,5.99,3
34,100251,2024-05-15,Refund,28.34,1
35,104372,2024-03-01,Account,6.59,2
36,104782,2025-04-25,Billing,11.21,5
37,103189,2023-06-29,Technical,0.54,4
38,101892,2024-12-03,Account,25.45,3
39,102895,2023-11-11,Account,6.67,5
40,101879,2025-03-14,Account,17.01,3
41,103226,2024-05-12,Account,4.47,3
42,103400,2024-05-25,Technical,12.21,2
43,101267,2023-09-27,Account,28.12,2
44,104377,2025-06-05,Refund,28.34,3
45,104417,2023-06-10,Technical,46.69,3
46,102098,2023-06-12,Technical,14.3,4
47,101512,2023-01-20,Billing,14.41,2
48,100739,2023-04-16,Billing,11.13,3
49,103157,2024-03-26,Account,5.51,3
50,103928,2024-12-15,Billing,6.63,1
51,101542,2024-05-15,Refund,9.2,3
52,101303,2024-06-03,Technical,5.26,3
53,104809,2024-05-31,Technical,26.61,4
54,100483,2024-08-18,Billing,43.89,3
55,103678,2023-02-04,Refund,9.72,3
56,101377,2024-03-11,Technical,16.53,3
57,101210,2023-08-22,Billing,0.7,5
58,101693,2025-05-22,Billing,6.68,4
59,102941,2025-04-16,Refund,17.63,5
60,101068,2023-02-06,Account,0.85,2
61,101651,2025-05-26,Technical,7.69,4
62,104692,2023-04-02,Billing,8.09,3
63,104416,2024-07-24,Refund,13.82,5
64,100654,2024-04-13,Technical,0.49,2
65,101201,2023-06-16,Account,11.96,3
66,103428,2024-07-21,Account,7.81,2
67,102179,2023-04-05,Billing,0.0,3
68,101976,2024-12-29,Refund,3.98,4
69,102389,2023-06-19,Billing,11.44,1
70,102201,2025-05-01,Account,19.71,5
71,103435,2023-06-01,Account,4.63,5
72,101237,2024-09-29,Technical,12.23,3
73,100397,2024-08-16,Account,3.16,4
74,101434,2024-08-14,Billing,39.8,1
75,102749,2024-11-22,Technical,16.2,5
76,103108,2024-06-11,Account,7.37,1
77,104450,2024-01-11,Technical,13.3,2
78,101889,2024-05-06,Billing,20.64,4
79,103178,2025-03-20,Refund,20.58,2
80,104112,2025-02-14,Account,8.56,2
81,103604,2023-07-06,Refund,23.4,3
82,102595,2023-02-20,Technical,4.0,4
83,104806,2023-11-15,Account,32.03,4
84,100592,2024-09-08,Billing,3.19,2
85,104617,2023-05-10,Account,14.66,5
86,100125,2023-07-29,Billing,7.17,3
87,102567,2023-05-17,Account,3.19,1
88,102571,2023-03-18,Billing,6.8,2
89,102281,2024-05-06,Technical,15.67,3
90,100519,2025-04-09,Billing,3.32,5
91,102637,2023-06-25,Refund,9.2,3
92,103073,2023-07-31,Refund,3.49,3
93,101618,2023-04-30,Account,4.6,5
94,102407,2023-12-11,Billing,9.16,1
95,103351,2023-05-16,Technical,1.97,1
96,102544,2024-04-25,Refund,13.58,5
97,102745,2023-07-25,Account,4.53,1
98,101056,2025-06-01,Billing,11.72,2
99,100672,2024-02-06,Technical,6.26,1
100,101983,2024-12-10,Account,0.29,5
101,103816,2024-10-07,Technical,10.01,5
102,102965,2023-12-23,Technical,30.46,2
103,100745,2023-05-02,Account,2.2,2
104,104155,2023-01-13,Billing,3.51,5
105,101401,2023-07-08,Refund,22.45,5
106,102266,2023-03-11,Account,22.9,5
107,100160,2024-06-03,Technical,3.42,2
108,101661,2024-12-10,Refund,50.59,2
109,101865,2024-07-22,Account,21.8,3
110,102177,2024-10-13,Technical,6.79,3
111,101691,2023-02-01,Refund,14.92,2
112,102551,2023-03-28,Technical,32.78,1
113,100265,2025-04-20,Billing,5.2,2
114,100728,2023-04-11,Technical,6.71,5
115,103690,2023-06-22,Billing,4.07,4
116,103476,2025-03-04,Account,22.3,1
117,102343,2024-09-01,Account,2.84,1
118,101402,2023-03-19,Refund,8.27,5
119,102245,2023-09-23,Technical,15.46,1
120,102579,2023-04-22,Technical,4.92,4
121,101891,2023-12-21,Billing,11.32,3
122,104633,2024-03-08,Refund,7.71,5
123,102640,2025-01-24,Refund,18.55,2
124,102999,2023-01-29,Refund,3.31,1
125,100647,2025-03-11,Billing,0.17,5
126,104707,2023-03-29,Billing,14.67,3
127,103727,2023-03-19,Technical,39.57,5
128,100092,2023-12-03,Technical,1.05,5
129,102247,2025-05-08,Account,2.3,3
130,102804,2025-04-03,Refund,22.31,2
131,102376,2023-10-06,Technical,16.11,2
132,104149,2023-02-05,Billing,19.63,5
133,100209,2023-09-20,Technical,0.91,3
134,103379,2024-09-13,Refund,8.54,1
135,102059,2025-02-26,Billing,4.03,2
136,102739,2023-04-21,Technical,1.88,5
137,103437,2023-06-20,Refund,8.99,1
138,103757,2023-06-05,Billing,19.11,1
139,102989,2023-05-04,Technical,27.91,4
140,103505,2024-07-18,Account,0.18,2
141,100303,2024-07-21,Technical,3.42,3
